"Symbol","Name","Category2","Category3","Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,171,458,107,000","0.67%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,856,238,357,587","1.02%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,097,749,980,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,097,749,980,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$902,336,311,867","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$494,054,221,995","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$422,104,800,000","0.09%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$312,443,500,000","0.00%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$248,332,084,922","2.49%","USA","Analyze"
"ASML","ASML Holding NV ADRs","ADRs","Large cap","Information Technology","$238,332,241,912","1.13%","The Netherlands","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$225,990,812,448","2.92%","USA","Analyze"
"AZN","AstraZeneca PLC ADRs","ADRs","Large cap","Health Care","$216,113,122,104","2.07%","United Kingdom","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$205,913,106,897","0.75%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$197,840,846,641","3.11%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$174,430,409,587","0.00%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$154,296,266,757","2.73%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$152,817,279,000","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$149,306,305,081","3.04%","USA","Analyze"
